Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,share
2016,eu,Europe,eufra,France,fra,7307359466,0.182542529
2016,eu,Europe,eugbr,United Kingdom,gbr,1935917967,0.048360473
2016,eu,Europe,euirl,Ireland,irl,360843638,0.009014106
2016,eu,Europe,euita,Italy,ita,1931316731,0.048245531
2016,eu,Europe,eunld,Netherlands,nld,726450231,0.018147193
2016,eu,Europe,eupol,Poland,pol,1263099192,0.031553028
2016,eu,Europe,euswe,Sweden,swe,192852751,0.004817585
2016,na,North America,nacan,Canada,can,1105702677,0.027621162
2016,na,North America,namex,Mexico,mex,329162648,0.008222694
2016,na,North America,nausa,United States,usa,4802421246,0.119967565
2015,as,Asia,asare,United Arab Emirates,are,214001533,0.005892755
2015,as,Asia,aschn,China,chn,1927380133,0.05307242
2015,as,Asia,ashkg,Hong Kong,hkg,516243123,0.014215292
2015,as,Asia,asjpn,Japan,jpn,1450814476,0.039949688
2015,as,Asia,askor,South Korea,kor,2407982586,0.06630631
2015,as,Asia,assgp,Singapore,sgp,1034010428,0.028472555
2015,as,Asia,astha,Thailand,tha,401993799,0.011069318
2015,as,Asia,asxxb,Chinese Taipei,,452045661,0.012447548
2015,eu,Europe,eubel,Belgium,bel,1039305125,0.02861835
2015,eu,Europe,euche,Switzerland,che,726068803,0.019993061
2015,eu,Europe,eucze,Czechia,cze,199707141,0.005499144
2015,eu,Europe,eudeu,Germany,deu,2927681356,0.080616757
2015,eu,Europe,euesp,Spain,esp,666082517,0.018341276
2015,eu,Europe,eufra,France,fra,6937450451,0.191029927
2015,eu,Europe,eugbr,United Kingdom,gbr,1883900152,0.051875154
2015,eu,Europe,euirl,Ireland,irl,363815723,0.010018045
2015,eu,Europe,euita,Italy,ita,1599172927,0.044034893
2015,eu,Europe,eunld,Netherlands,nld,559368357,0.015402791
2015,eu,Europe,eupol,Poland,pol,1099538473,0.030276938
2015,eu,Europe,euswe,Sweden,swe,287179739,0.007907793
2015,na,North America,nacan,Canada,can,1080879444,0.029763142
2015,na,North America,namex,Mexico,mex,264670079,0.007287966
2015,na,North America,nausa,United States,usa,4639561447,0.127755159
2014,as,Asia,asare,United Arab Emirates,are,199112545,0.005481387
2014,as,Asia,aschn,China,chn,1734091791,0.047737968
2014,as,Asia,ashkg,Hong Kong,hkg,129991405,0.003578545
2014,as,Asia,asjpn,Japan,jpn,1255594220,0.034565366
2014,as,Asia,askor,South Korea,kor,1551380049,0.04270808
2014,as,Asia,assgp,Singapore,sgp,986583157,0.027159736
2014,as,Asia,astha,Thailand,tha,453143345,0.012474624
2014,as,Asia,asxxb,Chinese Taipei,,406936220,0.011202584
2014,eu,Europe,eubel,Belgium,bel,1012895365,0.027884087
2014,eu,Europe,euche,Switzerland,che,713902598,0.019653089
2014,eu,Europe,eucze,Czechia,cze,203401623,0.005599461
2014,eu,Europe,eudeu,Germany,deu,3134871591,0.086300161
2014,eu,Europe,euesp,Spain,esp,770127012,0.021200895
2014,eu,Europe,eufra,France,fra,7782520129,0.214245694
2014,eu,Europe,eugbr,United Kingdom,gbr,2112206688,0.058147127
2014,eu,Europe,euirl,Ireland,irl,679423640,0.018703914
2014,eu,Europe,euita,Italy,ita,1612158921,0.044381267
2014,eu,Europe,eunld,Netherlands,nld,570563109,0.015707083
2014,eu,Europe,eupol,Poland,pol,1218969874,0.033557131
2014,eu,Europe,euswe,Sweden,swe,227820283,0.006271685
2014,na,North America,nacan,Canada,can,1011197534,0.027837347
2014,na,North America,namex,Mexico,mex,286533699,0.007888012
2014,na,North America,nausa,United States,usa,4428030994,0.121899662
2013,as,Asia,asare,United Arab Emirates,are,194195918,0.005660128
2013,as,Asia,aschn,China,chn,1600326454,0.046643885
2013,as,Asia,ashkg,Hong Kong,hkg,353239757,0.010295696
2013,as,Asia,asjpn,Japan,jpn,1230270418,0.035858053
2013,as,Asia,askor,South Korea,kor,1017375494,0.029652915
2013,as,Asia,assgp,Singapore,sgp,914646149,0.026658717
2013,as,Asia,astha,Thailand,tha,472033268,0.013758109
2013,as,Asia,asxxb,Chinese Taipei,,371253618,0.010820737
2013,eu,Europe,eubel,Belgium,bel,944545598,0.02753018
2013,eu,Europe,euche,Switzerland,che,651934530,0.019001597
2013,eu,Europe,eucze,Czechia,cze,187999280,0.005479517
2013,eu,Europe,eudeu,Germany,deu,3048808979,0.088862053
2013,eu,Europe,euesp,Spain,esp,690712410,0.020131836
2013,eu,Europe,eufra,France,fra,7321744384,0.213403083
2013,eu,Europe,eugbr,United Kingdom,gbr,1985316706,0.057864996
2013,eu,Europe,euirl,Ireland,irl,595099404,0.017345053
2013,eu,Europe,euita,Italy,ita,1490007700,0.043428481
2013,eu,Europe,eunld,Netherlands,nld,554725524,0.016168297
2013,eu,Europe,eupol,Poland,pol,1223785195,0.035669032
2013,eu,Europe,euswe,Sweden,swe,202215573,0.005893872
2013,na,North America,nacan,Canada,can,949293579,0.027668567
2013,na,North America,namex,Mexico,mex,303978539,0.008859905
2013,na,North America,nausa,United States,usa,4188843413,0.122090045
2012,as,Asia,asare,United Arab Emirates,are,318451979,0.010158357
2012,as,Asia,aschn,China,chn,1576200100,0.05027949
2012,as,Asia,ashkg,Hong Kong,hkg,90611512,0.002890433
2012,as,Asia,asjpn,Japan,jpn,1359741670,0.043374644
2012,as,Asia,askor,South Korea,kor,803569917,0.025633221
2012,as,Asia,assgp,Singapore,sgp,793300920,0.025305649
2012,as,Asia,astha,Thailand,tha,424680999,0.013546976
2012,as,Asia,asxxb,Chinese Taipei,,348790270,0.011126124
2012,eu,Europe,eubel,Belgium,bel,898550557,0.028663026
2012,eu,Europe,euche,Switzerland,che,590753727,0.018844559
2012,eu,Europe,eucze,Czechia,cze,155797432,0.00496981
2012,eu,Europe,eudeu,Germany,deu,2932749694,0.09355231
2012,eu,Europe,euesp,Spain,esp,602686372,0.019225201
2012,eu,Europe,eufra,France,fra,6703289474,0.213829436
2012,eu,Europe,eugbr,United Kingdom,gbr,1760357795,0.05615397
2012,eu,Europe,euirl,Ireland,irl,525102096,0.016750326
2012,eu,Europe,euita,Italy,ita,1347619819,0.042987967
2012,eu,Europe,eunld,Netherlands,nld,462395107,0.014750025
2012,eu,Europe,eupol,Poland,pol,1109223690,0.035383326
2012,eu,Europe,euswe,Sweden,swe,181443547,0.0057879
2012,na,North America,nacan,Canada,can,899019984,0.028678
2012,na,North America,namex,Mexico,mex,234118387,0.007468184
2012,na,North America,nausa,United States,usa,3817663567,0.121780336
2011,as,Asia,asare,United Arab Emirates,are,98909515,0.003178187
2011,as,Asia,aschn,China,chn,1450891969,0.046620444
2011,as,Asia,ashkg,Hong Kong,hkg,91024219,0.002924814
2011,as,Asia,asjpn,Japan,jpn,1422214165,0.045698961
2011,as,Asia,askor,South Korea,kor,671985525,0.021592416
2011,as,Asia,assgp,Singapore,sgp,676732803,0.021744957
2011,as,Asia,astha,Thailand,tha,427209653,0.013727213
2011,as,Asia,asxxb,Chinese Taipei,,289120388,0.009290093
2011,eu,Europe,eubel,Belgium,bel,1278583190,0.041083772
2011,eu,Europe,euche,Switzerland,che,599699548,0.019269704
2011,eu,Europe,eucze,Czechia,cze,210837953,0.006774701
2011,eu,Europe,eudeu,Germany,deu,3095135275,0.099453703
2011,eu,Europe,euesp,Spain,esp,652552095,0.020967976
2011,eu,Europe,eufra,France,fra,7134451878,0.22924609
2011,eu,Europe,eugbr,United Kingdom,gbr,1756354022,0.056435631
2011,eu,Europe,euirl,Ireland,irl,437307683,0.014051686
2011,eu,Europe,euita,Italy,ita,1321475284,0.042461992
2011,eu,Europe,eunld,Netherlands,nld,417626323,0.013419279
2011,eu,Europe,eupol,Poland,pol,1102450055,0.035424216
2011,eu,Europe,euswe,Sweden,swe,200292320,0.006435846
2011,na,North America,nacan,Canada,can,812842827,0.02611848
2011,na,North America,namex,Mexico,mex,199221397,0.006401434
2011,na,North America,nausa,United States,usa,3463419431,0.111287507
2010,as,Asia,asare,United Arab Emirates,are,93071936,0.003473946
2010,as,Asia,aschn,China,chn,1200355370,0.044803734
2010,as,Asia,ashkg,Hong Kong,hkg,83032343,0.003099215
2010,as,Asia,asjpn,Japan,jpn,1257520839,0.046937457
2010,as,Asia,askor,South Korea,kor,683693601,0.025519131
2010,as,Asia,assgp,Singapore,sgp,466093237,0.017397112
2010,as,Asia,astha,Thailand,tha,349870314,0.013059046
2010,as,Asia,asxxb,Chinese Taipei,,227072767,0.00847558
2010,eu,Europe,eubel,Belgium,bel,901140992,0.03363544
2010,eu,Europe,euche,Switzerland,che,535368248,0.019982829
2010,eu,Europe,eucze,Czechia,cze,124493336,0.004646762
2010,eu,Europe,eudeu,Germany,deu,2775499578,0.103596608
2010,eu,Europe,euesp,Spain,esp,608943906,0.02272907
2010,eu,Europe,eufra,France,fra,6035360329,0.225272186
2010,eu,Europe,eugbr,United Kingdom,gbr,1521226006,0.056780356
2010,eu,Europe,euirl,Ireland,irl,400114708,0.014934438
2010,eu,Europe,euita,Italy,ita,1161413827,0.043350226
2010,eu,Europe,eunld,Netherlands,nld,372327403,0.013897266
2010,eu,Europe,eupol,Poland,pol,1056616313,0.039438617
2010,eu,Europe,euswe,Sweden,swe,173378428,0.006471418
2010,na,North America,nacan,Canada,can,717522952,0.026781825
2010,na,North America,namex,Mexico,mex,171234663,0.006391401
2010,na,North America,nausa,United States,usa,3201026009,0.119479548
2009,as,Asia,asare,United Arab Emirates,are,66131587,0.00279576
2009,as,Asia,aschn,China,chn,938072388,0.03965768
2009,as,Asia,ashkg,Hong Kong,hkg,71240105,0.003011726
2009,as,Asia,asjpn,Japan,jpn,1025877065,0.043369686
2009,as,Asia,askor,South Korea,kor,373720852,0.015799316
2009,as,Asia,assgp,Singapore,sgp,325767447,0.013772051
2009,as,Asia,astha,Thailand,tha,268541497,0.011352784
2009,as,Asia,asxxb,Chinese Taipei,,175570620,0.007422373
2009,eu,Europe,eubel,Belgium,bel,685059394,0.028961375
2009,eu,Europe,euche,Switzerland,che,498399812,0.021070208
2009,eu,Europe,eucze,Czechia,cze,104540899,0.004419541
2009,eu,Europe,eudeu,Germany,deu,2643436349,0.11175316
2009,eu,Europe,euesp,Spain,esp,513822298,0.021722205
2009,eu,Europe,eufra,France,fra,5536685738,0.234067344
2009,eu,Europe,eugbr,United Kingdom,gbr,1384630223,0.058536232
2009,eu,Europe,euirl,Ireland,irl,376484125,0.015916135
2009,eu,Europe,euita,Italy,ita,1066861211,0.04510232
2009,eu,Europe,eunld,Netherlands,nld,411701420,0.017404972
2009,eu,Europe,eupol,Poland,pol,905754513,0.038291419
2009,eu,Europe,euswe,Sweden,swe,163879914,0.00692814
2009,na,North America,nacan,Canada,can,619324280,0.026182376
2009,na,North America,namex,Mexico,mex,137843133,0.005827417
2009,na,North America,nausa,United States,usa,2837901150,0.119974298
2019,af,Africa,,Other Africa,,608031943,
2019,as,Asia,,Other Asia,,1174948270,
2019,eu,Europe,,Other Europe,,1974758094,
2019,na,North America,,Other North America,,63968062,
2019,oc,Oceania,,Other Oceania,,578175355,
2019,sa,South America,,Other South America,,410125619,
2018,af,Africa,,Other Africa,,654769512,
2018,as,Asia,,Other Asia,,1215941678,
2018,eu,Europe,,Other Europe,,1816940808,
2018,na,North America,,Other North America,,64440826,
2018,oc,Oceania,,Other Oceania,,537315190,
2018,sa,South America,,Other South America,,404751093,
2017,af,Africa,,Other Africa,,586694957,
2017,as,Asia,,Other Asia,,1140785918,
2017,eu,Europe,,Other Europe,,1595400911,
2017,na,North America,,Other North America,,98603991,
2017,oc,Oceania,,Other Oceania,,461990170,
2017,sa,South America,,Other South America,,384115216,
2016,af,Africa,,Other Africa,,546510643,
2016,as,Asia,,Other Asia,,1100576001,
2016,eu,Europe,,Other Europe,,1374803502,
2016,na,North America,,Other North America,,118236949,
2016,oc,Oceania,,Other Oceania,,382728922,
2016,sa,South America,,Other South America,,349924294,
2015,af,Africa,,Other Africa,,585703693,
2015,as,Asia,,Other Asia,,1019758287,
2015,eu,Europe,,Other Europe,,1253429584,
2015,na,North America,,Other North America,,112866250,
2015,oc,Oceania,,Other Oceania,,308420703,
2015,sa,South America,,Other South America,,356976816,
2014,af,Africa,,Other Africa,,564842665,
2014,as,Asia,,Other Asia,,1052503421,
2014,eu,Europe,,Other Europe,,1409389165,
2014,na,North America,,Other North America,,139740120,
2014,oc,Oceania,,Other Oceania,,274224415,
2014,sa,South America,,Other South America,,403023712,
2013,af,Africa,,Other Africa,,610673771,
2013,as,Asia,,Other Asia,,1046856545,
2013,eu,Europe,,Other Europe,,1346866200,
2013,na,North America,,Other North America,,107657022,
2013,oc,Oceania,,Other Oceania,,264340601,
2013,sa,South America,,Other South America,,440713185,
2012,af,Africa,,Other Africa,,549548916,
2012,as,Asia,,Other Asia,,857994252,
2012,eu,Europe,,Other Europe,,1187690469,
2012,na,North America,,Other North America,,113324969,
2012,oc,Oceania,,Other Oceania,,238675556,
2012,sa,South America,,Other South America,,465415723,
2011,af,Africa,,Other Africa,,498440627,
2011,as,Asia,,Other Asia,,831247687,
2011,eu,Europe,,Other Europe,,1191816229,
2011,na,North America,,Other North America,,109407612,
2011,oc,Oceania,,Other Oceania,,238147692,
2011,sa,South America,,Other South America,,441970394,
2010,af,Africa,,Other Africa,,347362734,
2010,as,Asia,,Other Asia,,730724242,
2010,eu,Europe,,Other Europe,,965747477,
2010,na,North America,,Other North America,,75637690,
2010,oc,Oceania,,Other Oceania,,192778456,
2010,sa,South America,,Other South America,,362785989,
2009,af,Africa,,Other Africa,,350755006,
2009,as,Asia,,Other Asia,,677089215,
2009,eu,Europe,,Other Europe,,955452110,
2009,na,North America,,Other North America,,71580503,
2009,oc,Oceania,,Other Oceania,,149872624,
2009,sa,South America,,Other South America,,318240219,
